"School","Total_Students","Temp_Housing","Percentage","Shelter","DHS_Shelter","Non_DHS_Shelter","Doubled_Up","Year"
"I. S. 381","327",9,0.028,7,NA,NA,NA,2021
"Midwood High School","4111",208,0.051,16,8,8,188,2021
"James Madison High School","3888",240,0.062,17,NA,NA,214,2021
"Home Schooling","656",20,0.03,7,NA,NA,13,2021
"Leon M. Goldstein High School for the Sciences","1032",10,0.01,NA,NA,NA,8,2021
"Brooklyn College Academy","668",21,0.031,NA,NA,NA,18,2021
"Origins High School","414",39,0.094,7,NA,NA,29,2021
"Professional Pathways High School","207",14,0.068,NA,NA,NA,9,2021
"Universal Pre-K C.B.O.","1755",17,0.01,14,8,6,NA,2021
"The Joan Snow Pre-K Center","227",6,0.026,NA,NA,NA,NA,2021
"P.S. 889","259",13,0.05,NA,NA,NA,9,2021
"M.S. 890","296",20,0.068,NA,NA,NA,16,2021
"P.S. 041 Francis White","298",55,0.185,31,24,7,24,2021
"P.S./I.S. 137 Rachel Jean Mitchell","175",21,0.12,11,NA,NA,10,2021
"P.S. 150 Christopher","165",22,0.133,15,NA,NA,6,2021
"P.S./ I.S. 155 Nicholas Herkimer","355",62,0.175,43,35,8,17,2021
"P.S. 156 Waverly","530",89,0.168,63,37,26,20,2021
"P.S. 165 Ida Posner","259",52,0.201,32,23,9,17,2021
"P.S. 178 Saint Clair Mckelway","291",80,0.275,49,34,15,28,2021
"P.S. 184 Newport","459",87,0.19,48,23,25,26,2021
"The Gregory Jocko Jackson School of Sports, Art, a","264",34,0.129,26,18,8,7,2021
"P.S. 298 Dr. Betty Shabazz","299",64,0.214,44,28,16,19,2021
"P.S./I.S. 323","514",85,0.165,69,51,18,11,2021
"P.S. 327 Dr. Rose B. English","269",54,0.201,36,25,11,18,2021
"Brownsville Collaborative Middle School","270",56,0.207,32,18,14,18,2021
"I.S. 392","325",27,0.083,14,NA,NA,12,2021
"Christopher Avenue Community School","299",99,0.331,83,60,23,16,2021
"Home Schooling","131",15,0.115,9,NA,NA,NA,2021
"Riverdale Avenue Community School","324",63,0.194,38,NA,NA,25,2021
"Brooklyn Collegiate: A College Board School","369",45,0.122,29,20,9,14,2021
"Frederick Douglass Academy VII High School","142",21,0.148,12,NA,NA,8,2021
"Kappa V (Knowledge and Power Preparatory Academy)","133",25,0.188,10,NA,NA,12,2021
"Mott Hall IV","133",18,0.135,8,NA,NA,8,2021
"Brooklyn Landmark Elementary School","412",50,0.121,28,18,10,20,2021
"Brooklyn Democracy Academy","142",20,0.141,11,NA,NA,6,2021
"Eagle Academy for Young Men II","634",74,0.117,44,14,30,28,2021
"Metropolitan Diploma Plus High School","210",31,0.148,22,10,12,6,2021
"Brooklyn Environmental Exploration School (BEES)","178",34,0.191,27,19,8,6,2021
"Riverdale Avenue Middle School","129",27,0.209,17,NA,NA,7,2021
"Mott Hall Bridges Academy","203",19,0.094,11,NA,NA,NA,2021
"Teachers Preparatory High School","160",34,0.213,24,14,10,8,2021
"Universal Pre-K C.B.O.","595",37,0.062,20,NA,NA,17,2021
"I.S. 5 - The Walter Crowley Intermediate School","1664",83,0.05,33,27,6,49,2021
"P.S. 007 Louis F. Simeone","1307",105,0.08,13,NA,NA,90,2021
"P.S. 012 James B. Colgate","1086",138,0.127,NA,NA,NA,136,2021
"P.S. 013 Clement C. Moore","1255",240,0.191,NA,NA,NA,237,2021
"P.S. 014 Fairview","1320",73,0.055,NA,NA,NA,64,2021
"P.S. Q016 The Nancy DeBenedittis School","1309",321,0.245,NA,NA,NA,315,2021
"P.S. 019 Marino Jeantet","1733",284,0.164,NA,NA,NA,279,2021
"P.S. 28 - The Thomas Emanuel Early Childhood Cente","434",31,0.071,NA,NA,NA,29,2021
"P.S. 049 Dorothy Bonawit Kole","1188",69,0.058,NA,NA,NA,69,2021
"P.S. 58 - The School of Heroes","933",33,0.035,NA,NA,NA,27,2021
"I.S. 061 Leonardo Da Vinci","2228",385,0.173,15,NA,NA,370,2021
"P.S. 068 Cambridge","505",38,0.075,8,NA,NA,29,2021
"P.S. 071 Forest","677",19,0.028,NA,NA,NA,17,2021
"I.S. 73 - The Frank Sansivieri Intermediate School","2149",152,0.071,8,NA,NA,140,2021
"I.S. 077","805",85,0.106,NA,NA,NA,84,2021
"P.S. 81Q Jean Paul Richter","629",83,0.132,NA,NA,NA,77,2021
"P.S./I.S. 087 Middle Village","580",14,0.024,NA,NA,NA,11,2021
"P.S. 088 Seneca","728",25,0.034,NA,NA,NA,20,2021
"P.S. 089 Elmhurst","1566",197,0.126,6,NA,NA,191,2021
"P.S. 091 Richard Arkwright","788",24,0.03,7,NA,NA,15,2021
"I.S. 093 Ridgewood","1121",82,0.073,NA,NA,NA,79,2021
"P.S. 102 Bayview","1273",127,0.1,75,67,8,50,2021
"P.S. 110","990",156,0.158,NA,NA,NA,149,2021
"P.S./I.S. 113 Anthony J. Pranzo","855",21,0.025,NA,NA,NA,20,2021
"P.S./I.S. 119 The Glendale","1300",77,0.059,NA,NA,NA,71,2021
"I.S. 125 Thom J. McCann Woodside","1393",151,0.108,19,NA,NA,130,2021
"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elemen","862",NA,NA,NA,NA,NA,NA,2021
"P.S. 143 Louis Armstrong","1373",217,0.158,39,NA,NA,178,2021
"P.S. 153 Maspeth Elem","975",26,0.027,NA,NA,NA,24,2021
"P.S. 199 Maurice A. Fitzgerald","625",73,0.117,31,25,6,42,2021
"Elm Tree Elementary School","786",309,0.393,NA,NA,NA,302,2021
"P.S. 229 Emanuel Kaplan","1298",58,0.045,26,NA,NA,31,2021
"International High School for Health Sciences","268",62,0.231,NA,NA,NA,61,2021
"P.S. 239","512",70,0.137,NA,NA,NA,63,2021
"Academy of Finance and Enterprise","741",39,0.053,NA,NA,NA,34,2021
"High School of Applied Communication","392",16,0.041,NA,NA,NA,11,2021
"A.C.E. Academy for Scholars at the Geraldine Ferra","580",19,0.033,NA,NA,NA,17,2021
"Civic Leadership Academy","652",25,0.038,NA,NA,NA,19,2021
"Pan American International High School","417",85,0.204,NA,NA,NA,80,2021
"Bard High School Early College Queens","662",11,0.017,NA,NA,NA,8,2021
"Learners and Leaders","537",71,0.132,NA,NA,NA,70,2021
"Pioneer Academy","837",88,0.105,NA,NA,NA,84,2021
"Corona Arts & Sciences Academy","761",156,0.205,NA,NA,NA,149,2021
"Helen M. Marshall School","465",139,0.299,NA,NA,NA,130,2021
"Mosaic Pre-K Center","734",60,0.082,NA,NA,NA,54,2021
"The Children's Lab School","477",37,0.078,8,NA,NA,29,2021
"Home Schooling","517",17,0.033,7,NA,NA,10,2021
"Newtown High School","1695",162,0.096,38,21,17,120,2021
"Grover Cleveland High School","1617",128,0.079,16,9,7,108,2021
"Middle College High School at LaGuardia Community","515",17,0.033,NA,NA,NA,16,2021
"International High School at LaGuardia Community C","520",98,0.188,NA,NA,NA,88,2021
"High School for Arts and Business","753",37,0.049,10,NA,NA,27,2021
"Robert F. Wagner, Jr. Secondary School for Arts an","650",27,0.042,7,NA,NA,18,2021
"Maspeth High School","1221",21,0.017,NA,NA,NA,18,2021
"Queens Technical High School","1473",64,0.043,NA,NA,NA,55,2021
"Aviation Career & Technical Education High School","2212",41,0.019,NA,NA,NA,35,2021
"Universal Pre-K C.B.O.","2084",79,0.038,16,9,7,59,2021
"VOYAGES Preparatory","232",14,0.06,NA,NA,NA,10,2021
"P.S. 020 John Bowne","1182",54,0.046,8,NA,NA,42,2021
"P.S. 021 Edward Hart","1235",192,0.155,NA,NA,NA,188,2021
"P.S. 022 Thomas Jefferson","854",38,0.044,NA,NA,NA,37,2021
"P.S. 024 Andrew Jackson","1111",88,0.079,NA,NA,NA,86,2021
"I.S. 025 Adrien Block","1050",79,0.075,NA,NA,NA,76,2021
"P.S. 029 Queens","728",40,0.055,8,NA,NA,31,2021
"P.S. 032 State Street","963",36,0.037,NA,NA,NA,32,2021
"P.S. 079 Francis Lewis","1104",30,0.027,NA,NA,NA,28,2021
"P.S. 107 Thomas A Dooley","917",72,0.079,NA,NA,NA,70,2021
"P.S. 120 Queens","849",16,0.019,NA,NA,NA,14,2021
"P.S. 129 Patricia Larkin","1098",55,0.05,NA,NA,NA,52,2021
"P.S. 130","405",NA,NA,NA,NA,NA,NA,2021
"P.S. 154 Queens","619",15,0.024,NA,NA,NA,12,2021
"P.S. 163 Flushing Heights","841",12,0.014,NA,NA,NA,11,2021
"P.S. 164 Queens Valley","626",16,0.026,NA,NA,NA,13,2021
"P.S. 165 Edith K. Bergtraum","753",49,0.065,7,NA,NA,42,2021
"P.S. 169 Bay Terrace","368",NA,NA,NA,NA,NA,NA,2021
"P.S. 184 Flushing Manor","523",20,0.038,NA,NA,NA,20,2021
"J.H.S. 185 Edward Bleeker","1426",129,0.09,NA,NA,NA,120,2021
"J.H.S. 189 Daniel Carter Beard","744",52,0.07,NA,NA,NA,49,2021
"P.S. 193 Alfred J. Kennedy","608",NA,NA,NA,NA,NA,NA,2021
"J.H.S. 194 William Carr","1208",51,0.042,NA,NA,NA,49,2021
"P.S./M.S. 200 - The Magnet School of Global Studie","534",22,0.041,9,NA,NA,12,2021
"P.S. 201 The Discovery School for Inquiry and Rese","454",23,0.051,15,NA,NA,6,2021
"P.S. 209 Clearview Gardens","553",NA,NA,NA,NA,NA,NA,2021
"P.S. 214 Cadwallader Colden","377",11,0.029,NA,NA,NA,9,2021
"P.S. 219 Paul Klapper","641",62,0.097,NA,NA,NA,57,2021
"I.S. 237","1358",67,0.049,NA,NA,NA,62,2021
"Veritas Academy","633",35,0.055,NA,NA,NA,31,2021
"Queens High School for Language Studies","445",23,0.052,NA,NA,NA,22,2021
"P.S. 242 Leonard P. Stavisky Early Childhood Schoo","401",9,0.022,NA,NA,NA,NA,2021
"The Active Learning Elementary School","492",NA,NA,NA,NA,NA,NA,2021
"I.S. 250 The Robert F. Kennedy Community Middle Sc","347",35,0.101,NA,NA,NA,30,2021
"Queens School of Inquiry, The","609",13,0.021,NA,NA,NA,13,2021
"Flushing International High School","446",87,0.195,NA,NA,NA,79,2021
"East-West School of International Studies","686",7,0.01,NA,NA,NA,NA,2021
"World Journalism Preparatory: A College Board Scho","628",23,0.037,NA,NA,NA,20,2021
"BELL Academy","354",NA,NA,NA,NA,NA,NA,2021
"College Point Collaborative","494",20,0.04,NA,NA,NA,19,2021
"District 25 PRE-K Center","156",NA,NA,NA,NA,NA,NA,2021
"John Bowne High School","3336",160,0.048,31,18,13,122,2021
"Home Schooling","384",10,0.026,NA,NA,NA,10,2021
"Flushing High School","1418",116,0.082,15,NA,NA,100,2021
"The Queens College School for Math, Science and Te","515",10,0.019,NA,NA,NA,6,2021
"Townsend Harris High School","1271",11,0.009,NA,NA,NA,10,2021
"Queens Academy High School","378",17,0.045,NA,NA,NA,11,2021
"Robert F. Kennedy Community High School","672",26,0.039,NA,NA,NA,21,2021
"Universal Pre-K C.B.O.","1785",37,0.021,NA,NA,NA,34,2021
"North Queens Community High School","132",9,0.068,NA,NA,NA,6,2021
"P.S. 018 Winchester","474",6,0.013,NA,NA,NA,NA,2021
"P.S. 026 Rufus King","711",11,0.015,NA,NA,NA,10,2021
"P.S. 031 Bayside","457",NA,NA,NA,NA,NA,NA,2021
"P.S. 041 Crocheron","479",9,0.019,NA,NA,NA,8,2021
"P.S. 046 Alley Pond","508",15,0.03,NA,NA,NA,15,2021
"J.H.S. 067 Louis Pasteur","1051",21,0.02,NA,NA,NA,19,2021
"J.H.S. 074 Nathaniel Hawthorne","1141",28,0.025,NA,NA,NA,28,2021
"P.S. 094 David D. Porter","336",10,0.03,NA,NA,NA,10,2021
"P.S. 098 The Douglaston School","272",NA,NA,NA,NA,NA,NA,2021
"The James J. Ambrose School","793",13,0.016,NA,NA,NA,13,2021
"P.S. 133 Queens","619",14,0.023,NA,NA,NA,14,2021
"M.S. 158 Marie Curie","995",33,0.033,NA,NA,NA,29,2021
"P.S. 159","667",26,0.039,NA,NA,NA,26,2021
"P.S. 162 John Golden","583",17,0.029,NA,NA,NA,12,2021
"Irwin Altman Middle School 172","992",28,0.028,NA,NA,NA,26,2021
"P.S. 173 Fresh Meadows","911",30,0.033,NA,NA,NA,30,2021
"P.S./ IS 178 Holliswood","540",10,0.019,NA,NA,NA,7,2021
"P.S. 186 Castlewood","383",7,0.018,NA,NA,NA,7,2021
"P.S. 188 Kingsbury","742",16,0.022,NA,NA,NA,16,2021
"P.S. 191 Mayflower","404",42,0.104,NA,NA,NA,42,2021
"P.S. 203 Oakland Gardens","817",NA,NA,NA,NA,NA,NA,2021
"P.S. 205 Alexander Graham Bell","285",9,0.032,NA,NA,NA,9,2021
"P.S. 213 The Carl Ullman School","461",18,0.039,NA,NA,NA,17,2021
"J.H.S. 216 George J. Ryan","1611",120,0.074,NA,NA,NA,116,2021
"P.S. 221 The North Hills School","611",NA,NA,NA,NA,NA,NA,2021
"P.S./I.S. 266","597",10,0.017,NA,NA,NA,NA,2021
"Business Technology Early College High School","559",41,0.073,7,NA,NA,32,2021
"P.S. 376","307",15,0.049,NA,NA,NA,15,2021
"The CIVIC School of Bayside Hills","43",NA,NA,NA,NA,NA,NA,2021
"Benjamin N. Cardozo High School","3415",106,0.031,14,NA,NA,86,2021
"Francis Lewis High School","4454",195,0.044,7,NA,NA,185,2021
"Martin Van Buren High School","1150",60,0.052,16,8,8,44,2021
"Home Schooling","257",NA,NA,NA,NA,NA,NA,2021
"Bayside High School","2972",192,0.065,12,NA,NA,148,2021
"Queens High School of Teaching, Liberal Arts and t","955",26,0.027,NA,NA,NA,23,2021
"Universal Pre-K C.B.O.","1011",14,0.014,NA,NA,NA,11,2021
"P.S./M.S 042 R. Vernam","638",52,0.082,30,21,9,21,2021
"P.S. 043","821",124,0.151,64,41,23,49,2021
"P.S. 045 Clarence Witherspoon","321",47,0.146,37,27,10,10,2021
"P.S. 047 Chris Galas","264",9,0.034,NA,NA,NA,8,2021
"P.S. 051","227",11,0.048,NA,NA,NA,10,2021
"M.S. 053 Brian Piccolo","172",30,0.174,13,NA,NA,16,2021
"P.S. 056 Harry Eichler","342",19,0.056,NA,NA,NA,16,2021
"P.S. 060 Woodhaven","1081",45,0.042,12,NA,NA,33,2021
"P. S. 62 - Chester Park School","903",8,0.009,6,NA,NA,NA,2021
"P.S. 063 Old South","1126",45,0.04,19,NA,NA,23,2021
"P.S. 064 Joseph P. Addabbo","484",14,0.029,7,NA,NA,7,2021
"P.S. 65 - The Raymond York Elementary School","434",19,0.044,NA,NA,NA,15,2021
"P.S. 066 Jacqueline Kennedy Onassis","507",19,0.037,6,NA,NA,13,2021
"P.S. 090 Horace Mann","684",46,0.067,NA,NA,NA,41,2021
"P.S. 096","304",16,0.053,NA,NA,NA,12,2021
"P.S. 097 Forest Park","647",30,0.046,9,NA,NA,21,2021
"P.S. 100 Glen Morris","878",14,0.016,NA,NA,NA,12,2021
"P.S. 104 The Bays Water","647",47,0.073,22,NA,NA,24,2021
"P.S. 105 The Bay School","806",82,0.102,36,24,12,43,2021
"Lighthouse Elementary School","168",26,0.155,10,NA,NA,15,2021
"P.S. 108 Captain Vincent G. Fowler","1319",39,0.03,12,NA,NA,27,2021
"P.S./M.S. 114 Belle Harbor","651",NA,NA,NA,NA,NA,NA,2021
"P.S. 123","620",59,0.095,25,17,8,29,2021
"P.S. 124 Osmond A Church","1119",28,0.025,12,NA,NA,15,2021
"M.S. 137 America's School of Heroes","1947",25,0.013,14,NA,NA,8,2021
"P.S. 146 Howard Beach","555",13,0.023,NA,NA,NA,13,2021
"P.S. 155","566",23,0.041,6,NA,NA,16,2021
"P.S. 183 Dr. Richard R. Green","499",65,0.13,26,17,9,29,2021
"P.S. 197 The Ocean School","455",32,0.07,18,NA,NA,13,2021
"J.H.S. 202 Robert H. Goddard","1048",35,0.033,7,NA,NA,27,2021
"P.S. 207 Rockwood Park","668",NA,NA,NA,NA,NA,NA,2021
"J.H.S. 210 Elizabeth Blackwell","1776",94,0.053,12,NA,NA,74,2021
"P.S. 223 Lyndon B. Johnson","491",31,0.063,11,NA,NA,12,2021
"J.H.S. 226 Virgil I. Grissom","894",98,0.11,20,13,7,76,2021
"P.S. 232 Lindenwood","911",20,0.022,8,NA,NA,10,2021
"P.S. 253","537",95,0.177,16,NA,NA,75,2021
"P.S. 254 - The Rosa Parks School","594",19,0.032,NA,NA,NA,18,2021
"Frederick Douglass Academy VI High School","250",27,0.108,13,NA,NA,7,2021
"Voyages Prep - South Queens","324",27,0.083,10,NA,NA,13,2021
"Channel View School for Research","1182",48,0.041,15,NA,NA,28,2021
"P.S. 273","312",NA,NA,NA,NA,NA,NA,2021
"Knowledge and Power Preparatory Academy VI","286",14,0.049,NA,NA,NA,14,2021
"Hawtree Creek Middle School","397",9,0.023,NA,NA,NA,6,2021
"Queens High School for Information, Research, and","486",36,0.074,9,NA,NA,24,2021
"New York City Academy for Discovery","357",21,0.059,NA,NA,NA,16,2021
"Robert H. Goddard High School of Communication Art","609",12,0.02,NA,NA,NA,6,2021
"Academy of Medical Technology: A College Board Sch","732",79,0.108,24,13,11,54,2021
"Epic High School - South","413",20,0.048,NA,NA,NA,13,2021
"Queens Explorers Elementary School","466",16,0.034,NA,NA,NA,13,2021
"Waterside Children's Studio School","486",16,0.033,7,NA,NA,NA,2021
"Waterside School For Leadership","198",21,0.106,NA,NA,NA,18,2021
"Village Academy","383",49,0.128,15,NA,NA,24,2021
"Scholars' Academy","1254",NA,NA,NA,NA,NA,NA,2021
"Rockaway Park High School for Environmental Sustai","259",25,0.097,9,NA,NA,14,2021
"Goldie Maple Academy","354",8,0.023,7,NA,NA,NA,2021
"Epic High School - North","411",21,0.051,NA,NA,NA,17,2021
"Curious Young Learners Pre-K Center","799",7,0.009,6,NA,NA,NA,2021
"Rockaway Collegiate High School","299",32,0.107,17,NA,NA,13,2021
"Wave Preparatory Elementary School","498",70,0.141,25,13,12,40,2021
"P.S. 377","417",17,0.041,12,NA,NA,NA,2021
"August Martin High School","424",59,0.139,25,16,9,30,2021
"Home Schooling","590",14,0.024,NA,NA,NA,6,2021
"Richmond Hill High School","1624",92,0.057,19,8,11,62,2021
"John Adams High School","2454",187,0.076,30,24,6,157,2021
"High School for Construction Trades, Engineering a","1101",7,0.006,NA,NA,NA,6,2021
"Universal Pre-K C.B.O.","1873",45,0.024,16,NA,NA,23,2021
"J.H.S. 008 Richard S. Grossley","459",48,0.105,9,NA,NA,38,2021
"P.S. 040 Samuel Huntington","376",42,0.112,16,NA,NA,26,2021
"P.S. 048 William Wordsworth","542",94,0.173,21,14,7,65,2021
"P.S. 050 Talfourd Lawn Elementary School","815",64,0.079,22,14,8,40,2021
"P.S. 054 Hillside","485",77,0.159,NA,NA,NA,75,2021
"P.S. 055 Maure","516",14,0.027,NA,NA,NA,11,2021
"Catherine & Count Basie Middle School 72","259",36,0.139,14,NA,NA,16,2021
"PS 80  The Thurgood Marshall Magnet School of Mult","408",52,0.127,28,19,9,24,2021
"P.S. 082 Hammond","590",58,0.098,20,NA,NA,36,2021
"P.S. Q086","717",86,0.12,NA,NA,NA,82,2021
"P.S. 099 Kew Gardens","721",54,0.075,9,NA,NA,45,2021
"P.S. 101 School in the Gardens","620",NA,NA,NA,NA,NA,NA,2021
"P.S. 117 J. Keld / Briarwood School","904",73,0.081,57,41,16,15,2021
"P.S. 121 Queens","804",18,0.022,NA,NA,NA,11,2021
"P.S. 139 Rego Park","675",28,0.041,NA,NA,NA,26,2021
"P.S. 140 Edward K Ellington","405",45,0.111,12,6,6,33,2021
"P.S. 144 Col Jeromus Remsen","904",15,0.017,NA,NA,NA,14,2021
"J.H.S. 157 Stephen A. Halsey","1674",76,0.045,14,NA,NA,62,2021
"P.S. 160 Walter Francis Bishop","639",79,0.124,26,15,11,51,2021
"P.S. 161 Arthur Ashe School","617",24,0.039,NA,NA,NA,19,2021
"Metropolitan Expeditionary Learning School","839",43,0.051,NA,NA,NA,36,2021
"P.S. 174 William Sidney Mount","622",11,0.018,NA,NA,NA,11,2021
"P.S. 175 The Lynn Gross Discovery School","782",14,0.018,NA,NA,NA,14,2021
"P.S. 182 Samantha Smith","648",100,0.154,13,NA,NA,86,2021
"J.H.S. 190 Russell Sage","1142",45,0.039,8,NA,NA,33,2021
"P.S. 196 Grand Central Parkway","966",NA,NA,NA,NA,NA,NA,2021
"P.S. 206 The Horace Harding School","595",20,0.034,8,NA,NA,10,2021
"J.H.S. 217 Robert A. Van Wyck","1634",196,0.12,31,NA,NA,162,2021
"P.S. 220 Edward Mandel","670",36,0.054,NA,NA,NA,32,2021
"York Early College Academy","628",20,0.032,NA,NA,NA,14,2021
"The Emerson School","397",55,0.139,10,NA,NA,42,2021
"The Academy for Excellence through the Arts","374",NA,NA,NA,NA,NA,NA,2021
"Queens Collegiate: A College Board School","646",37,0.057,NA,NA,NA,28,2021
"Jamaica Children's School","243",26,0.107,13,NA,NA,9,2021
"Hillside Arts & Letters Academy","459",35,0.076,10,NA,NA,25,2021
"High School for Community Leadership","477",26,0.055,NA,NA,NA,20,2021
"Redwood Middle School","281",22,0.078,7,NA,NA,14,2021
"The Ezra Jack Keats Pre-K Center","234",9,0.038,NA,NA,NA,8,2021
"Queens Satellite High School for Opportunity","162",9,0.056,NA,NA,NA,NA,2021
"The Queens School for Leadership and Excellence","617",68,0.11,13,NA,NA,54,2021
"Jamaica Gateway to the Sciences","527",44,0.083,12,6,6,31,2021
"The Jermaine L. Green STEM Institute of Queens","494",55,0.111,17,11,6,32,2021
"M.S. 358","354",36,0.102,NA,NA,NA,33,2021
"Forest Hills High School","3790",152,0.04,22,13,9,122,2021
"Home Schooling","510",14,0.027,NA,NA,NA,8,2021
"Hillcrest High School","2857",204,0.071,29,NA,NA,174,2021
"Thomas A. Edison Career and Technical Education Hi","2337",96,0.041,12,NA,NA,80,2021
"Queens Gateway to Health Sciences Secondary School","722",34,0.047,NA,NA,NA,33,2021
"Queens Metropolitan High School","1039",22,0.021,NA,NA,NA,20,2021
"Queens High School for the Sciences at York Colleg","512",10,0.02,NA,NA,NA,9,2021
"High School for Law Enforcement and Public Safety","386",20,0.052,11,NA,NA,8,2021
"Universal Pre-K C.B.O.","2259",62,0.027,30,NA,NA,29,2021
"Young Women's Leadership School, Queens","580",14,0.024,NA,NA,NA,9,2021
"P.S. 015 Jackie Robinson","385",40,0.104,10,NA,NA,30,2021
"P.S. 033 Edward M. Funk","906",29,0.032,NA,NA,NA,26,2021
"P.S. 034 John Harvard","557",58,0.104,8,NA,NA,48,2021
"P.S. 035 Nathaniel Woodhull","666",47,0.071,14,NA,NA,30,2021
"P.S. 036 Saint Albans School","341",46,0.135,10,NA,NA,36,2021
"Cynthia Jenkins School","312",63,0.202,17,7,10,44,2021
"P.S. 038 Rosedale","257",16,0.062,NA,NA,NA,8,2021
"P.S. 052 Queens","342",125,0.365,109,91,18,16,2021
"I.S. 059 Springfield Gardens","536",56,0.104,13,NA,NA,36,2021
"P.S. 095 Eastwood","1409",205,0.145,59,51,8,145,2021
"Jean Nuzzi Intermediate School","1177",81,0.069,19,13,6,57,2021
"P.S./I.S. 116 William C. Hughley","866",108,0.125,67,61,6,39,2021
"P.S. 118 Lorraine Hansberry","411",34,0.083,14,NA,NA,18,2021
"P.S. 131 Abigail Adams","715",99,0.138,NA,NA,NA,96,2021
"P.S. 132 Ralph Bunche","340",25,0.074,8,NA,NA,16,2021
"P.S. 134 Hollis","301",24,0.08,13,NA,NA,7,2021
"The Bellaire School","814",52,0.064,28,NA,NA,24,2021
"P.S. 136 Roy Wilkins","497",44,0.089,25,16,9,15,2021
"P.S./M.S. 138 Sunrise","616",45,0.073,12,NA,NA,28,2021
"P.S./M.S. 147 Ronald McNair","508",37,0.073,9,NA,NA,24,2021
"P.S. 156 Laurelton","169",16,0.095,9,NA,NA,7,2021
"P.S. 176 Cambria Heights","680",8,0.012,NA,NA,NA,NA,2021
"P.S. 181 Brookfield","302",28,0.093,16,NA,NA,11,2021
"I.S. 192 The Linden","437",51,0.117,13,7,6,30,2021
"P.S. 195 William Haberle","424",29,0.068,12,NA,NA,12,2021
"P.S./I.S. 208","752",25,0.033,NA,NA,NA,20,2021
"I.S. 238 - Susan B. Anthony Academy","1156",171,0.148,38,30,8,132,2021
"Institute for Health Professions at Cambria Height","478",40,0.084,7,NA,NA,28,2021
"Queens Preparatory Academy","242",25,0.103,6,NA,NA,15,2021
"P.S. 251 Queens","299",24,0.08,8,NA,NA,15,2021
"Pathways College Preparatory School: A College Boa","616",47,0.076,14,NA,NA,28,2021
"Excelsior Preparatory High School","407",37,0.091,14,7,7,21,2021
